,background radiations,background radiations,E11t,E11g,E12t,E12g,E13t,E13g,E21t,E21g,E22t,E22g,E23t,E23g,E31t,E31g,E32t,E32g,E33t,E33g,E34t,E34g,E35t,E35g,E36t,E36g,E37t,E37g,E38t,E38g,E39t,E39g,E310t,E310g,E311t,E311g,E312t,E312g,E313t,E313g,E314t,E314g,E315t,E315g,E316t,E316g,E317t,E317g,E318t,E318g,E319t,E319g,E320t,E320g,E41t,E41g,E42t,E42g,E43t,E43g,E44t,E44g,E45t,E45g
,8.600,0,8.600,2,8.600,1,8.600,1,88.000,21,88.000,21,88.000,19,4.300,3,4.300,1,4.300,0,4.300,0,4.300,2,4.300,4,4.300,1,4.300,2,4.300,2,4.300,1,4.300,0,4.300,0,4.300,1,4.300,2,4.300,0,4.300,1,4.300,1,4.300,0,4.300,1,4.300,1,88.000,6,88.000,12,88.000,7,88.000,12,88.000,4
,8.800,0,8.800,1,8.800,4,8.800,4,90.000,18,90.000,25,90.000,23,4.400,1,4.400,1,4.400,3,4.400,1,4.400,0,4.400,1,4.400,3,4.400,2,4.400,2,4.400,2,4.400,0,4.400,0,4.400,0,4.400,1,4.400,4,4.400,0,4.400,4,4.400,2,4.400,3,4.400,0,90.000,3,90.000,5,90.000,7,90.000,6,90.000,7
,9.000,0,9.000,2,9.000,2,9.000,1,92.000,26,92.000,25,92.000,24,4.500,2,4.500,2,4.500,3,4.500,1,4.500,0,4.500,1,4.500,2,4.500,1,4.500,0,4.500,1,4.500,2,4.500,0,4.500,0,4.500,0,4.500,2,4.500,2,4.500,4,4.500,0,4.500,0,4.500,0,92.000,5,92.000,4,92.000,10,92.000,5,92.000,1
,9.200,0,9.200,4,9.200,2,9.200,2,94.000,21,94.000,23,94.000,31,4.600,1,4.600,1,4.600,3,4.600,0,4.600,0,4.600,0,4.600,0,4.600,1,4.600,1,4.600,1,4.600,2,4.600,1,4.600,2,4.600,1,4.600,0,4.600,0,4.600,3,4.600,1,4.600,0,4.600,1,94.000,1,94.000,5,94.000,1,94.000,4,94.000,12
,9.400,0,9.400,1,9.400,3,9.400,4,96.000,23,96.000,17,96.000,20,4.700,1,4.700,2,4.700,1,4.700,1,4.700,0,4.700,2,4.700,2,4.700,3,4.700,3,4.700,0,4.700,3,4.700,0,4.700,1,4.700,2,4.700,1,4.700,2,4.700,3,4.700,3,4.700,1,4.700,1,96.000,7,96.000,4,96.000,7,96.000,10,96.000,6
,9.600,0,9.600,2,9.600,0,9.600,1,98.000,27,98.000,25,98.000,29,4.800,0,4.800,1,4.800,1,4.800,2,4.800,1,4.800,0,4.800,2,4.800,0,4.800,1,4.800,2,4.800,0,4.800,2,4.800,0,4.800,0,4.800,0,4.800,0,4.800,3,4.800,0,4.800,2,4.800,1,98.000,4,98.000,6,98.000,5,98.000,2,98.000,5
,9.800,0,9.800,3,9.800,1,9.800,2,100.000,27,100.000,23,100.000,34,4.900,2,4.900,1,4.900,2,4.900,2,4.900,2,4.900,1,4.900,0,4.900,1,4.900,0,4.900,0,4.900,1,4.900,0,4.900,3,4.900,2,4.900,0,4.900,3,4.900,0,4.900,1,4.900,1,4.900,1,100.000,4,100.000,8,100.000,4,100.000,3,100.000,4
,10.000,0,10.000,0,10.000,1,10.000,1,102.000,30,102.000,18,102.000,24,5.000,0,5.000,2,5.000,0,5.000,0,5.000,1,5.000,2,5.000,0,5.000,0,5.000,0,5.000,1,5.000,1,5.000,1,5.000,3,5.000,1,5.000,0,5.000,1,5.000,3,5.000,1,5.000,0,5.000,2,102.000,9,102.000,7,102.000,7,102.000,8,102.000,6
,10.200,0,10.200,3,10.200,1,10.200,0,104.000,22,104.000,28,104.000,18,5.100,1,5.100,1,5.100,0,5.100,1,5.100,0,5.100,2,5.100,2,5.100,1,5.100,1,5.100,0,5.100,0,5.100,0,5.100,2,5.100,1,5.100,1,5.100,0,5.100,0,5.100,1,5.100,2,5.100,0,104.000,0,104.000,4,104.000,8,104.000,9,104.000,4
,10.400,0,10.400,4,10.400,2,10.400,3,106.000,17,106.000,23,106.000,15,5.200,2,5.200,1,5.200,3,5.200,2,5.200,1,5.200,2,5.200,2,5.200,1,5.200,0,5.200,1,5.200,0,5.200,2,5.200,2,5.200,0,5.200,1,5.200,3,5.200,1,5.200,1,5.200,1,5.200,2,106.000,5,106.000,9,106.000,4,106.000,6,106.000,9
